Year,Sex,Type,Cancer_Type,MorRate_Age_0_to_4,MorRate_Age_5_to_9,MorRate_Age_10_to_14,MorRate_Age_15_to_19,MorRate_Age_20_to_24,MorRate_Age_25_to_29,MorRate_Age_30_to_34,MorRate_Age_35_to_39,MorRate_Age_40_to_44,MorRate_Age_45_to_49,MorRate_Age_50_to_54,MorRate_Age_55_to_59,MorRate_Age_60_to_64,MorRate_Age_65_to_69,MorRate_Age_70_to_74,MorRate_Age_75_to_79,MorRate_Age_80_to_84,MorRate_Age_85+
2009,Female,Mortality,Breast cancer,0,0,0,0,0,0.004554909,0.011760492,0.022963571,0.050386469,0.095145005,0.145355414,0.16754428,0.223291086,0.262654101,0.300270019,0.361364051,0.481373934,0.707524771
2009,Female,Mortality,Cervical cancer,0,0,0,0.001146414,0,0.003542707,0.001069136,0.003420106,0.005194481,0.010398361,0.014705217,0.014486911,0.016852157,0.022196121,0.015685747,0.022177577,0.048137393,0.053816202
2009,Female,Mortality,Chronic lymphocytic leukaemia,0,0,0,0,0,0,0,0,0,0,0.001131171,0.001259731,0.004915213,0.009248384,0.011204105,0.014350197,0.040373298,0.080724303
2009,Female,Mortality,Chronic myeloid leukaemia,0,0,0,0,0,0,0,0.000488587,0.000519448,0.000519918,0.000565585,0.000629866,0.000702173,0.002774515,0.007842874,0.006522817,0.017081011,0.022159613
2009,Female,Mortality,Colon cancer,0,0,0,0,0,0.000506101,0.001603703,0.003908693,0.007272274,0.011438197,0.027713678,0.039051674,0.051960819,0.082310616,0.135569673,0.207425575,0.293482818,0.522333724
2009,Female,Mortality,Head and neck excluding lip,0,0,0,0,0,0.000506101,0,0.000977173,0.003116689,0.004159344,0.007352608,0.009447986,0.017554331,0.021271283,0.039214368,0.050877971,0.051243032,0.071227326
2009,Female,Mortality,Head and neck including lip,0,0,0,0,0,0.000506101,0,0.000977173,0.003116689,0.004159344,0.007352608,0.009447986,0.017554331,0.021271283,0.039214368,0.052182535,0.05434867,0.072810155
2009,Female,Mortality,Hodgkin lymphoma,0,0,0.000621736,0,0,0.000506101,0,0.00146576,0.000519448,0,0.000565585,0,0,0.001849677,0.004481642,0.009131944,0.007764096,0.006331318
2009,Female,Mortality,Kidney cancer,0.00060064,0.00190796,0.000621736,0.000573207,0,0,0,0.000977173,0.001038896,0.003639426,0.00961495,0.010077851,0.014745638,0.033294182,0.048177652,0.066532731,0.096274787,0.131374846
2009,Female,Mortality,Laryngeal cancer,0,0,0,0,0,0,0,0,0,0,0.000565585,0,0.001404346,0.000924838,0.010083695,0.00391369,0.007764096,0.001582829
2009,Female,Mortality,Liver cancer,0.00060064,0,0,0,0.001532262,0.001012202,0,0.00146576,0.003116689,0.006758935,0.011877291,0.013857046,0.037215181,0.035143859,0.051538884,0.093928562,0.114908617,0.140871822
2009,Female,Mortality,Lung cancer,0,0,0,0,0,0.001012202,0.001069136,0.006840213,0.017661237,0.038473937,0.084272205,0.144869114,0.224695432,0.385657606,0.488498986,0.572703316,0.784173667,0.650542911
2009,Female,Mortality,Melanoma of the skin,0,0,0,0,0.001532262,0.003036606,0.002672839,0.007328799,0.010388963,0.011958115,0.018098729,0.023305031,0.028086929,0.049016434,0.048177652,0.057400788,0.079193776,0.14720314
2009,Female,Mortality,Mesothelioma,0,0,0,0,0,0,0,0.000977173,0.000519448,0.001559754,0.003959097,0.001889597,0.007021732,0.011098061,0.015685747,0.022177577,0.034162021,0.03007376
2009,Female,Mortality,Myeloma,0,0,0,0,0,0,0,0.000488587,0.001558344,0.003639426,0.005655853,0.008188254,0.018256504,0.035143859,0.053779705,0.066532731,0.083852234,0.110798063
2009,Female,Mortality,Non-Hodgkin lymphoma,0,0,0,0,0,0.001012202,0.001069136,0.002442933,0.001038896,0.003639426,0.004524682,0.014486911,0.024576063,0.045317081,0.080669557,0.136979153,0.195655212,0.286492133
2009,Female,Mortality,Non-melanoma skin cancer all types,0,0,0,0,0,0.000506101,0,0.000488587,0.001038896,0.001559754,0.001131171,0.002519463,0.002808693,0.007398707,0.013444926,0.01565476,0.029503564,0.128209187
2009,Female,Mortality,Oesophageal cancer,0,0,0,0,0,0,0,0.000488587,0.000519448,0.003119508,0.006221438,0.010077851,0.018958677,0.036068697,0.0425756,0.052182535,0.111802978,0.161448606
2009,Female,Mortality,Ovarian cancer,0,0,0,0.001146414,0.001021508,0.002024404,0.001603703,0.001954346,0.00571393,0.014037788,0.03110719,0.051648988,0.08496296,0.08600997,0.117643104,0.14741566,0.164598829,0.205767831
2009,Female,Mortality,Pancreatic cancer,0,0,0,0,0,0.001012202,0.000534568,0,0.00571393,0.008318689,0.022623411,0.0440906,0.052662992,0.107281253,0.154616652,0.233516842,0.281060265,0.395707366
2009,Female,Mortality,Rectal cancer,0,0,0,0,0.000510754,0.002024404,0.001069136,0.00146576,0.010388963,0.015077624,0.023188996,0.028343957,0.044939086,0.050866111,0.090753252,0.104365069,0.150623457,0.221596125
2009,Female,Mortality,Stomach cancer,0,0,0,0,0,0.000506101,0.001603703,0.00293152,0.007791722,0.007798771,0.009049364,0.014486911,0.028086929,0.02312096,0.039214368,0.062619041,0.113355797,0.204185001
2009,Female,Mortality,Thyroid cancer,0,0,0,0,0,0.000506101,0,0.000488587,0,0.001559754,0.002262341,0.001889597,0.007021732,0.003699354,0.007842874,0.023482141,0.021739468,0.023742442
2009,Female,Mortality,Tongue cancer,0,0,0,0,0,0.000506101,0,0,0.000519448,0.001039836,0.001131171,0.001889597,0.004213039,0.002774515,0.014565337,0.016959324,0.013975372,0.012662636
